plz,ort,grundversorger,gv_tarif_stichtag_alt,gv_ap_stichtag_alt,gv_gp_stichtag_alt,gv_gesamtpreis_stichtag_alt,gv_tarif_stichtag_neu,gv_ap_stichtag_neu,gv_gp_stichtag_neu,gv_gesamtpreis_stichtag_neu,differenz_gv_gesamtpreis,sondertarif_stichtag_alt,sondertarif_stichtag_alt_ap,sondertarif_stichtag_alt_gp,sondertarif_stichtag_alt_gesamtpreis,sondertarif_stichtag_neu,sondertarif_stichtag_neu_ap,sondertarif_neu_gp,sondertarif_stichtag_neu_gesamtpreis,differenz_sondertarif_stichtag_alt_stichtag_neu,PLZ_FirstDigit
04519,Rackwitz,envia Mitteldeutsche Energie AG,enviaM regio,36.567,112.92,1392.765,enviaM regio,31.857,112.92,1227.915,-164.85,NEWfair Strom 3 ,21.13,121.04,860.59,SimplyFair Tarif,20.59639,141.5378,862.41145,1.82145,0
01744,Dippoldiswalde,SachsenEnergie AG,ENSO.Strom.Privat,33.57,83.77,1258.72,ENSO.Strom.Privat,33.57,83.77,1258.72,0.0,NEWfair Strom 3 ,22.95,83.72,886.97,SimplyFair Tarif,22.41639,104.2185,888.79215,1.82215,0
01468,Moritzburg,DREWAG - Stadtwerke Dresden GmbH,Grundversorgung Haushalt,32.56,92.92,1232.52,Grundversorgung Haushalt,32.56,92.92,1232.52,0.0,MAX Basic Strom 12,20.134,95.62,800.31,KlickStrom24 plus,20.99,91.81,826.46,26.15,0
01896,Ohorn,SachsenEnergie AG,ENSO.Strom.Privat,33.57,83.77,1258.72,ENSO.Strom.Privat,33.57,83.77,1258.72,0.0,NEWfair Strom 3 ,22.95,83.72,886.97,SimplyFair Tarif,22.41639,104.2185,888.79215,1.82215,0
06862,Dessau-Roßlau,Dessauer Stromversorgung GmbH,DessauStrom Basis,31.93,79.8,1197.35,DessauStrom Basis,31.93,79.8,1197.35,0.0,NEWfair Strom 3 ,21.44,93.53,843.93,SimplyFair Tarif,20.90639,114.0336,845.75725,1.82725,0
09217,Burgstädt,envia Mitteldeutsche Energie AG,enviaM regio,36.567,112.92,1392.765,enviaM regio,31.857,112.92,1227.915,-164.85,NEWfair Strom 3 ,21.13,121.04,860.59,SimplyFair Tarif,20.59639,141.5378,862.41145,1.82145,0
02689,Sohland,SachsenEnergie AG,ENSO.Strom.Privat,33.57,83.77,1258.72,ENSO.Strom.Privat,33.57,83.77,1258.72,0.0,NEWfair Strom 3 ,22.95,83.72,886.97,SimplyFair Tarif,22.41639,104.2185,888.79215,1.82215,0
02742,Friedersdorf,SachsenEnergie AG,ENSO.Strom.Privat,33.57,83.77,1258.72,ENSO.Strom.Privat,33.57,83.77,1258.72,0.0,NEWfair Strom 3 ,22.95,83.72,886.97,SimplyFair Tarif,22.41639,104.2185,888.79215,1.82215,0
04509,Löbnitz,envia Mitteldeutsche Energie AG,enviaM regio,36.567,112.92,1392.765,enviaM regio,31.857,112.92,1227.915,-164.85,NEWfair Strom 3 ,21.13,121.04,860.59,SimplyFair Tarif,20.59639,141.5378,862.41145,1.82145,0
01069,Dresden,DREWAG - Stadtwerke Dresden GmbH,Grundversorgung Haushalt,32.56,92.92,1232.52,Grundversorgung Haushalt,32.56,92.92,1232.52,0.0,NEWfair Strom 3 ,23.4,82.73,901.73,SimplyFair Tarif,22.86639,103.2269,903.55055,1.82055,0
06618,Molauer Land,envia Mitteldeutsche Energie AG,enviaM regio,36.567,112.92,1392.765,enviaM regio,31.857,112.92,1227.915,-164.85,NEWfair Strom 3 ,21.13,121.04,860.59,SimplyFair Tarif,20.59639,141.5378,862.41145,1.82145,0
06268,Langeneichstädt,envia Mitteldeutsche Energie AG,enviaM regio,36.567,112.92,1392.765,enviaM regio,31.857,112.92,1227.915,-164.85,NEWfair Strom 3 ,21.13,121.04,860.59,SimplyFair Tarif,20.59639,141.5378,862.41145,1.82145,0
09111,Chemnitz,eins energie in sachsen GmbH & Co. KG,einsstrom Basis,36.18,120.93,1387.23,einsstrom Basis,36.18,120.93,1387.23,0.0,NEWfair Strom 3 ,19.1,128.91,797.41,SimplyFair Tarif,18.56639,149.4118,799.23545,1.82545,0
09366,Stollberg,envia Mitteldeutsche Energie AG,enviaM regio,36.567,112.92,1392.765,enviaM regio,31.857,112.92,1227.915,-164.85,NEWfair Strom 3 ,21.13,121.04,860.59,SimplyFair Tarif,20.59639,141.5378,862.41145,1.82145,0
04924,Zeischa,envia Mitteldeutsche Energie AG,enviaM regio,36.567,112.92,1392.765,enviaM regio,31.857,112.92,1227.915,-164.85,NEWfair Strom 3 ,21.13,121.04,860.59,SimplyFair Tarif,20.59639,141.5378,862.41145,1.82145,0
09399,Niederwürschnitz,envia Mitteldeutsche Energie AG,enviaM regio,36.567,112.92,1392.765,enviaM regio,31.857,112.92,1227.915,-164.85,NEWfair Strom 3 ,21.13,121.04,860.59,SimplyFair Tarif,20.59639,141.5378,862.41145,1.82145,0
06311,Helbra,envia Mitteldeutsche Energie AG,enviaM regio,36.567,112.92,1392.765,enviaM regio,31.857,112.92,1227.915,-164.85,NEWfair Strom 3 ,21.13,121.04,860.59,SimplyFair Tarif,20.59639,141.5378,862.41145,1.82145,0
03130,Spremberg,Städtische Werke Spremberg (Lausitz) GmbH,Perlestrom basis,39.12,92.5,1461.7,Perlestrom basis,34.12,107.5,1301.7,-160.0,strompur,21.53782,128.037,881.8607,KlickStrom24 plus,21.32,129.81,876.01,-5.8507,0
08309,Eibenstock,envia Mitteldeutsche Energie AG,enviaM regio,36.567,112.92,1392.765,enviaM regio,31.857,112.92,1227.915,-164.85,strompur,21.53782,128.037,881.8607,KlickStrom24 plus,21.32,129.81,876.01,-5.8507,0
08606,Ottengrün,envia Mitteldeutsche Energie AG,enviaM regio,36.567,112.92,1392.765,enviaM regio,31.857,112.92,1227.915,-164.85,NEWfair Strom 3 ,21.13,121.04,860.59,SimplyFair Tarif,20.59639,141.5378,862.41145,1.82145,0
01259,Dresden,DREWAG - Stadtwerke Dresden GmbH,Grundversorgung Haushalt,32.56,92.92,1232.52,Grundversorgung Haushalt,32.56,92.92,1232.52,0.0,NEWfair Strom 3 ,23.4,82.73,901.73,SimplyFair Tarif,22.86639,103.2269,903.55055,1.82055,0
04603,Nobitz,envia Mitteldeutsche Energie AG,enviaM regio,36.567,112.92,1392.765,enviaM regio,31.857,112.92,1227.915,-164.85,NEWfair Strom 3 ,21.13,121.04,860.59,SimplyFair Tarif,20.59639,141.5378,862.41145,1.82145,0
09236,Claußnitz,envia Mitteldeutsche Energie AG,enviaM regio,36.567,112.92,1392.765,enviaM regio,31.857,112.92,1227.915,-164.85,NEWfair Strom 3 ,21.13,121.04,860.59,SimplyFair Tarif,20.59639,141.5378,862.41145,1.82145,0
